Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
13/01/2019;21.2;30.4;26.2;88;0;9.6;3;270;2;W 
14/01/2019;23;32.1;26;86;16.6;3.9;5;330;2;W 
15/01/2019;23.2;31.8;27.3;84;10.9;5.3;6;200;3;C 
16/01/2019;23;28.6;24.9;90;19.8;8.4;5;320;2;NW
17/01/2019;23;31.6;26;90;15.9;2.2;7;230;2;W 
18/01/2019;23.4;31.8;26.4;87;18.1;5.4;5;270;3;W 
19/01/2019;23.2;;27.3;82;4.2;7.2;4;270;2;W 
20/01/2019;23.4;31;26.3;87;2.8;3.7;4;330;2;NW
21/01/2019;23.8;30;26.6;87;8.5;4.8;5;230;3;W 
22/01/2019;23.4;28.9;24.9;93;12.6;2.9;4;250;1;W 
23/01/2019;22.2;30.8;25.2;88;19.2;0;4;300;1;C 
24/01/2019;21.8;31.4;25.2;88;4.9;1;6;180;2;C 
25/01/2019;;31.6;25.1;92;20.7;6.6;6;320;1;C 
26/01/2019;22.8;31.3;26.6;82;28.7;;5;270;2;W 
27/01/2019;23.8;31.5;26.2;90;1.3;3.6;5;270;1;C 
28/01/2019;22.2;32.8;26.9;82;10;4;3;270;1;C 
29/01/2019;23.3;32.3;26.5;87;0;7.7;3;120;2;E 
30/01/2019;22.6;32.4;26.2;84;35;4.6;5;300;2;NW
31/01/2019;22.4;31;26.2;83;61.8;7.2;4;250;2;C 
01/02/2019;23.3;31.5;26.5;82;0.4;4.2;4;250;2;SW
02/02/2019;23.3;31.6;26.7;84;15.9;7.2;5;250;2;SW
03/02/2019;23.6;31.6;27.2;81;0;8.6;5;220;2;NW
04/02/2019;24.2;30.8;26.7;88;0;6.9;5;270;2;NW
05/02/2019;24.2;30.5;26.6;87;30.7;5.1;6;230;3;W 
06/02/2019;23.8;31.9;27.5;82;1;5.2;5;250;3;W 
07/02/2019;24;30.8;26.4;86;6.4;8.4;6;250;3;W 
08/02/2019;;29.8;25.1;90;31.5;4.3;4;230;2;C 
09/02/2019;24;30.5;26.6;84;2.9;3;4;260;2;W 
10/02/2019;;31.4;26.8;84;0;9.1;5;200;2;C 
11/02/2019;23.2;;25.5;86;10.5;5.2;4;230;2;C 
12/02/2019;23.6;29.4;26.1;88;2.2;4.8;5;230;2;C 
13/02/2019;23.9;32.1;26.9;82;0;;4;230;1;C 
14/02/2019;23;31;26;89;16.1;5.1;4;200;1;W 
15/02/2019;24;30.6;27.1;84;1;3.6;4;230;2;W 
16/02/2019;22.8;31.5;25.7;86;1.3;5.9;4;190;2;NW
17/02/2019;22.2;32;26.1;83;28.1;7.8;4;300;2;W 
18/02/2019;23.4;32.4;25.8;86;0;6.7;4;310;1;NW
19/02/2019;22.5;31.8;26.1;84;6.5;5.6;6;50;1;C 
20/02/2019;23;31;24.3;91;4;5.1;4;270;1;C 
21/02/2019;22.6;31.8;26.1;85;25.6;3.6;3;180;1;C 
22/02/2019;22.8;31.6;26;88;5.3;6.6;4;100;1;C 
23/02/2019;22;30.6;25.7;87;0.3;6.6;6;110;2;SW
24/02/2019;22.6;31.8;26;87;56.3;6.1;5;240;2;C 
25/02/2019;22.6;32.7;26.2;88;25;6.6;5;290;2;C 
26/02/2019;;33.2;27.7;79;29.3;;5;180;2;SE
27/02/2019;22.6;33.1;27.3;84;11.6;10;5;360;2;C 
28/02/2019;23.8;30.8;25.7;92;12.2;7.3;3;20;1;C 
01/03/2019;23.6;32.2;26;86;9.2;2.4;3;290;2;C 
02/03/2019;23.2;29.6;25.5;89;30.9;5.6;3;270;1;C 
03/03/2019;23.2;30.2;26.3;88;28.3;2;3;230;1;W 
04/03/2019;23.2;31.9;26.6;83;5;3;3;330;1;C 
05/03/2019;23.6;32.8;26.4;85;0;5.1;5;350;2;C 
06/03/2019;23;30.6;25.8;88;19.7;6.4;6;360;2;NW
07/03/2019;19.9;29.4;25.1;87;41.5;3.4;2;200;0;C 
08/03/2019;;30.6;26.2;86;0.5;0;4;270;1;C 
09/03/2019;23;31.9;26.9;82;0;1.9;5;260;2;W 
10/03/2019;23;29.5;25.8;84;0;8.3;4;260;2;W 
11/03/2019;22.6;31;25.5;88;3.5;8.3;4;230;2;N 
12/03/2019;22;31;26.1;84;6.9;4.9;3;250;2;SE
13/03/2019;23;32.2;26.2;86;2.4;5.9;3;40;2;SE
14/03/2019;22.6;32.4;27;81;19.3;4.7;3;270;1;W 
15/03/2019;23.2;;26.9;83;4;5.2;4;250;2;W 
16/03/2019;21.4;30.4;25.4;84;47;6.2;6;250;2;W 
17/03/2019;22.2;27.6;23.3;93;16.5;5.6;3;320;2;N 
18/03/2019;21.9;29.4;25.5;85;106.9;0.3;4;290;2;NW
19/03/2019;22.2;30.8;26.7;82;0.7;2.6;3;240;2;W 
20/03/2019;23.2;31.8;26.3;87;6.6;0.8;5;270;2;W 
21/03/2019;23.9;31.3;26.7;85;8888;4;4;250;2;W 
22/03/2019;23.2;31.6;26.1;89;30.7;8.1;6;310;2;C 
23/03/2019;22.6;31.1;26.1;88;55.8;5.5;5;230;2;SW
24/03/2019;23;28.8;25.6;90;33.9;0;2;200;1;S 
25/03/2019;23.8;31.3;26.7;88;6.2;0.3;4;270;2;C 
26/03/2019;;31.6;26.3;88;0;6.1;4;220;2;W 
27/03/2019;24;31.2;26.6;87;2.7;5.1;4;200;2;C 
28/03/2019;23.8;30.2;25.6;89;1.2;5.2;4;230;2;NE
29/03/2019;21.9;31.3;26.5;81;8.6;4.7;4;240;2;SW
30/03/2019;22.6;31.7;27;80;0;10.4;4;250;2;W 
31/03/2019;23.6;31.8;25;93;0;6.9;5;230;2;C 
01/04/2019;23.2;30.8;27.1;82;52.2;6.3;5;180;2;C 
02/04/2019;22.2;30.6;25.7;86;21.8;6.4;5;250;2;W 
03/04/2019;22.3;32;27;82;8888;7.4;6;230;2;W 
04/04/2019;;33.4;25.9;88;3;9.2;3;60;1;C 
05/04/2019;;30.8;25.8;90;46.3;4.5;4;250;2;C 
06/04/2019;22.4;30.2;26.4;90;46.3;3.7;6;270;2;SW
07/04/2019;22.8;31.3;26.9;82;0;7.1;4;260;2;W 
08/04/2019;23.3;31.4;26.2;88;0;9.6;3;180;2;W 
09/04/2019;23.8;31.8;27.2;83;10.1;5.7;3;260;2;W 
10/04/2019;23.8;31.8;26.8;85;0;6.6;5;240;2;W 
11/04/2019;24.5;30.6;26.7;91;0;7.9;4;230;1;C 
12/04/2019;22.2;31.6;26.3;80;15.6;4.2;3;240;1;C 
13/04/2019;24;31.6;27.4;84;0;6.1;4;260;2;W 
14/04/2019;24.2;33;28.2;82;0.8;3.5;3;190;2;S 
15/04/2019;23.6;32.1;26.6;85;0;6.6;3;290;1;C 
16/04/2019;24;31;26.8;87;12.5;6.2;5;250;2;N 
17/04/2019;23.2;32.2;26.3;89;23.6;4.4;5;280;2;C 
18/04/2019;23.4;32.8;27.4;85;30.4;7.1;3;170;1;C 
19/04/2019;24.2;32.7;27.9;82;0;5.6;5;160;3;SE
20/04/2019;23.9;31.4;27.1;82;0;8.7;3;180;2;S 
21/04/2019;23.3;33;27.7;74;4.7;4.1;6;120;3;E 
22/04/2019;23.2;33.4;27.7;78;0;8.9;5;270;2;C 
23/04/2019;24;33.6;27.9;80;0;8.2;3;150;2;E 
24/04/2019;24.4;32;27.8;81;0;7.9;5;330;2;C 
25/04/2019;25;32.6;28.2;80;1.5;4.2;4;200;2;W 
26/04/2019;23.2;32.8;27.5;78;0;5.2;4;270;2;C 
27/04/2019;23;32.4;27.1;80;0;8.9;4;270;2;W 
28/04/2019;23.3;31.6;26.6;86;0;10.4;4;90;2;C 
29/04/2019;24.4;32.5;;;17.1;4.7;3;100;1;C 
30/04/2019;23.2;32.2;27.1;84;76.5;;4;170;1;C 
01/05/2019;23.4;32.5;;;3.2;7.8;5;230;2;SW
02/05/2019;23.8;31.9;26.7;84;0;9;4;270;2;C 
03/05/2019;24;31.6;27.1;85;6.4;8.3;4;250;2;W 
04/05/2019;23;32.3;26.7;80;0;7.7;3;270;2;NW
05/05/2019;23;31.4;26.3;84;0;9.8;4;280;2;NW
06/05/2019;23;32.6;26.8;84;0;8.7;3;250;2;S 
07/05/2019;23;;26.5;84;25.4;8.5;4;120;2;C 
08/05/2019;;32;27.4;79;0.7;7.1;4;220;2;S 
09/05/2019;23;32;26.9;79;;8.9;3;150;2;S 
10/05/2019;22;32.2;26.8;76;0;5.5;4;120;2;S 
11/05/2019;23;32.1;27;74;0;5.6;4;180;2;W 
12/05/2019;23;32.1;26.4;77;0;7.8;5;190;2;SW
13/05/2019;22;32;27;76;0;6.2;4;260;2;W 
14/05/2019;23;33.2;27.2;78;0;8.2;3;280;2;E 
15/05/2019;23;32.6;27.6;78;0;7.7;4;250;2;W 
16/05/2019;23;31.4;27.1;79;0;6.7;3;220;2;C 
17/05/2019;22;31.1;25.9;79;0;8.2;4;230;2;C 
18/05/2019;21;31.5;25.8;78;0;9.2;4;280;2;NW
19/05/2019;21;31.4;25.7;81;0;8.8;4;230;2;W 
20/05/2019;;32;26.8;79;0;9.1;3;200;2;C 
21/05/2019;23;33.1;27.2;76;0;8.8;3;230;2;C 
22/05/2019;23;33.5;27.6;75;0;9.3;3;250;1;C 
23/05/2019;23;33.4;26.7;82;;10.6;4;230;2;W 
24/05/2019;23;33.5;27.2;78;0;8.7;3;150;2;NE
25/05/2019;22;32.4;26.7;76;0;8.9;4;280;2;W 
26/05/2019;;31.7;26;85;0;10.4;4;250;2;W 
27/05/2019;23;31.3;26.4;85;7.8;7.4;3;300;1;NW
28/05/2019;22;32.4;26.7;83;;5.1;3;70;2;W 
29/05/2019;23;32.4;27;78;0;9;3;160;1;NW
30/05/2019;23;32.3;26.7;78;0;7.8;4;290;2;C 
31/05/2019;21;31.4;25.6;78;0;8.6;4;260;2;W 
01/06/2019;21;30;25.1;81;0;8;3;320;2;W 
